"","Altura"
"1",1.75
"2",1.81
"3",1.72
"4",1.71
"5",1.92
"6",1.81
"7",1.79
"8",1.65
"9",1.79
"10",1.62
"11",1.58
"12",1.56
"13",2.1
"14",1.65
"15",1.86
"16",1.8
"17",1.78
"18",1.72
"19",1.62
"20",1.81
"21",1.84
"22",1.87
"23",1.74
"24",1.8
"25",1.57
"26",1.71
"27",1.81
"28",1.76
"29",1.83
"30",1.72
"31",1.64
"32",1.94
"33",1.8
"34",1.71
"35",1.72
"36",1.72
"37",1.76
"38",1.76
"39",1.69
"40",1.72
"41",1.66
"42",1.6
"43",1.74
"44",1.5
"45",1.86
"46",1.57
"47",1.72
"48",1.69
"49",1.78
"50",1.66
"51",1.77
"52",1.78
"53",1.86
"54",1.99
"55",1.73
"56",1.92
"57",1.79
"58",1.65
"59",1.78
"60",1.7
"61",1.65
"62",1.66
"63",1.82
"64",1.75
"65",1.66
"66",1.65
"67",1.65
"68",1.73
"69",1.68
"70",1.65
"71",1.69
"72",1.72
"73",1.62
"74",1.85
"75",1.8
"76",1.59
"77",1.66
"78",1.83
"79",1.64
"80",1.67
"81",1.63
"82",1.86
"83",1.78
"84",1.63
"85",1.76
"86",1.69
"87",1.87
"88",1.69
"89",1.73
"90",1.62
"91",2
"92",1.62
"93",1.78
"94",1.82
"95",1.72
"96",1.79
"97",1.96
"98",1.78
"99",1.76
"100",1.83
"101",1.59
"102",1.71
"103",1.66
"104",1.63
"105",2.02
"106",1.59
"107",1.68
"108",1.75
"109",1.66
"110",1.92
"111",1.74
"112",1.72
"113",1.72
"114",1.85
"115",1.73
"116",1.69
"117",1.82
"118",1.58
"119",1.7
"120",1.86
"121",1.72
"122",1.82
"123",1.58
"124",1.66
"125",1.62
