"","idade","sexo","sem","ano"
"1",26,2,2,1
"2",23,2,8,4
"3",17,1,2,1
"4",19,1,4,2
"5",21,2,6,3
"6",19,1,2,1
"7",24,2,8,4
"8",18,1,2,1
"9",21,2,6,3
"10",18,1,2,1
"11",20,2,6,3
"12",26,2,6,3
"13",19,1,4,2
"14",18,1,4,2
"15",20,2,2,1
"16",21,2,2,1
"17",27,2,2,1
"18",17,1,2,1
"19",22,2,6,3
"20",18,1,2,1
"21",19,1,4,2
"22",20,2,2,1
"23",21,2,6,3
"24",18,1,2,1
"25",19,1,4,2
"26",18,1,2,1
"27",18,1,2,1
"28",18,1,2,1
"29",41,2,4,2
"30",41,2,4,2
"31",18,1,4,2
"32",20,2,2,1
"33",31,2,2,1
"34",18,1,4,2
"35",19,1,4,2
"36",18,1,2,1
"37",22,2,6,3
"38",26,2,6,3
"39",18,1,4,2
"40",28,2,2,1
"41",21,2,8,4
"42",19,1,4,2
"43",18,1,4,2
"44",19,1,2,1
"45",17,1,2,1
"46",20,2,4,2
"47",19,1,4,2
"48",19,1,2,1
"49",36,2,6,3
"50",37,2,8,4
"51",34,2,8,4
"52",33,2,8,4
"53",27,2,8,4
"54",18,1,2,1
"55",31,2,2,1
"56",32,2,6,3
"57",31,2,8,4
"58",22,2,6,3
"59",30,2,6,3
"60",30,2,2,1
"61",32,2,2,1
"62",17,1,2,1
"63",25,2,8,4
"64",20,2,2,1
"65",23,2,6,3
"66",25,2,8,4
"67",19,1,6,3
"68",30,2,2,1
"69",18,1,2,1
"70",29,2,6,3
"71",29,2,2,1
"72",25,2,6,3
"73",28,2,2,1
"74",21,2,6,3
"75",20,2,4,2
"76",22,2,6,3
"77",29,2,4,2
"78",19,1,2,1
"79",30,2,6,3
"80",23,2,2,1
"81",29,2,6,3
"82",18,1,4,2
"83",26,2,10,5
"84",18,1,2,1
"85",20,2,6,3
"86",19,1,4,2
"87",29,2,8,4
"88",19,1,2,1
"89",17,1,2,1
"90",19,1,4,2
"91",28,2,4,2
"92",21,2,8,4
"93",18,1,2,1
"94",29,2,6,3
"95",25,2,4,2
"96",28,2,2,1
"97",28,2,6,3
"98",23,2,8,4
"99",18,1,3,2
"100",25,2,2,1
"101",21,2,6,3
"102",28,2,2,1
"103",26,2,4,2
"104",18,1,1,1
"105",26,2,2,1
"106",28,2,4,2
"107",27,2,2,1
"108",29,2,6,3
"109",27,2,6,3
"110",24,2,2,1
"111",25,2,8,4
"112",21,2,6,3
"113",19,1,2,1
"114",20,2,4,2
"115",23,2,10,5
"116",22,2,6,3
"117",22,2,6,3
"118",19,1,4,2
"119",23,2,4,2
"120",21,2,6,3
"121",27,2,10,5
"122",28,2,2,1
"123",18,1,2,1
"124",27,2,6,3
"125",20,2,6,3
"126",27,2,8,4
"127",20,2,2,1
"128",26,2,10,5
"129",21,2,6,3
"130",22,2,6,3
"131",26,2,4,2
"132",22,2,6,3
"133",26,2,8,4
"134",21,2,6,3
"135",20,2,2,1
"136",19,1,2,1
"137",26,2,2,1
"138",19,1,4,2
"139",20,2,6,3
"140",18,1,3,2
"141",26,2,6,3
"142",20,2,6,3
"143",23,2,6,3
"144",18,1,4,2
"145",21,2,4,2
"146",20,2,2,1
"147",20,2,4,2
"148",18,1,2,1
"149",19,1,4,2
"150",18,1,2,1
"151",25,2,6,3
"152",24,2,4,2
"153",26,2,6,3
"154",25,2,3,2
"155",16,1,2,1
"156",23,2,2,1
"157",19,1,4,2
"158",23,2,6,3
"159",18,1,2,1
"160",25,2,7,4
"161",25,2,4,2
"162",21,2,6,3
"163",20,2,4,2
"164",23,2,6,3
"165",26,2,8,4
"166",20,2,5,3
"167",25,2,2,1
"168",23,2,6,3
"169",22,2,4,2
"170",22,2,2,1
"171",18,1,4,2
"172",25,2,2,1
"173",17,1,2,1
"174",23,2,4,2
"175",18,1,2,1
"176",20,2,6,3
"177",24,2,8,4
"178",19,1,6,3
"179",25,2,6,3
"180",23,2,6,3
"181",19,1,2,1
"182",20,2,6,3
"183",24,2,6,3
"184",23,2,6,3
"185",24,2,6,3
"186",25,2,4,2
"187",20,2,2,1
"188",24,2,2,1
"189",18,1,4,2
"190",25,2,8,4
"191",21,2,6,3
"192",18,1,2,1
"193",18,1,6,3
"194",25,2,6,3
"195",24,2,6,3
"196",24,2,6,3
"197",22,2,8,4
"198",21,2,6,3
"199",24,2,6,3
"200",23,2,8,4
"201",23,2,8,4
"202",23,2,2,1
"203",19,1,4,2
"204",24,2,4,2
"205",18,1,2,1
"206",18,1,2,1
"207",20,2,4,2
"208",19,1,4,2
"209",24,2,8,4
"210",17,1,2,1
"211",21,2,4,2
"212",23,2,2,1
"213",22,2,6,3
"214",20,2,4,2
"215",23,2,10,5
"216",22,2,1,1
"217",19,1,4,2
"218",17,1,2,1
"219",19,1,6,3
"220",21,2,6,3
"221",22,2,8,4
"222",23,2,8,4
"223",21,2,4,2
